tense,mean_up,sum_up,mean_right,sum_right,n_participants,sum_item
future,0.4696969696969697,248,0.6515151515151515,344,33,528
past,0.48674242424242425,257,0.3181818181818182,168,33,528
present,0.5814393939393939,307,0.48295454545454547,255,33,528
