tense,emotion,mean_up,sum_up,mean_right,sum_right,n_participants,sum_item
future,anxiety,0.6212121212121212,164,0.6212121212121212,164,33,264
future,depression,0.3181818181818182,84,0.6818181818181818,180,33,264
past,anxiety,0.6666666666666666,176,0.32954545454545453,87,33,264
past,depression,0.3068181818181818,81,0.3068181818181818,81,33,264
present,neutral,0.5814393939393939,307,0.48295454545454547,255,33,528
