key_instructions.keys,key_instructions.rt,mouse_fixation_2.x,mouse_fixation_2.y,mouse_fixation_2.leftButton,mouse_fixation_2.midButton,mouse_fixation_2.rightButton,mouse_fixation_2.clicked_name,mouse_sentence_2.x,mouse_sentence_2.y,mouse_sentence_2.leftButton,mouse_sentence_2.midButton,mouse_sentence_2.rightButton,mouse_sentence_2.clicked_name,correct,target_position,distractor_position,mouse_x,mouse_y,mouse_time,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,list,item,emotion,tense,sentence,target_x,target_y,distract_x,distract_y,participant,condition,date,expName,psychopyVersion,OS,frameRate,key_instructions_2.keys,key_instructions_2.rt,mouse_fixation.x,mouse_fixation.y,mouse_fixation.leftButton,mouse_fixation.midButton,mouse_fixation.rightButton,mouse_fixation.clicked_name,mouse_sentence.x,mouse_sentence.y,mouse_sentence.leftButton,mouse_sentence.midButton,mouse_sentence.rightButton,mouse_sentence.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran
space,4.555055,-0.000516493,0.000820312,1,0,0,fixation,-0.000516493,0.000820312,1,0,0,text_sentence,0,"[-0.22,0.28]","[0.22,-0.28]","[-0.0005164930555555555,-0.0005164930555555555,-0.0005164930555555555,-0.0005164930555555555,-0.0005164930555555555,-0.0005164930555555555,-0.0005164930555555555,-0.0005164930555555555,-0.0005164930555555555,-0.0005164930555555555,-0.0005164930555555555,-0.0005164930555555555,-0.0005164930555555555,-0.0005164930555555555,-0.0005164930555555555,-0.0005164930555555555,-0.0005164930555555555,-0.0005164930555555555,-0.0005164930555555555,-0.0005164930555555555,-0.0005164930555555555,-0.0005164930555555555,-0.0005164930555555555,-0.0005164930555555555,-0.0005164930555555555,-0.0005164930555555555,-0.0005164930555555555,-0.0005164930555555555,-0.0005164930555555555,-0.0005164930555555555,-0.0005164930555555555,-0.0005164930555555555,-0.0005164930555555555,-0.0005164930555555555,-0.0005164930555555555,-0.0005164930555555555,-0.0005164930555555555,-0.0005164930555555555,-0.0005164930555555555,-0.0005164930555555555,-0.0005164930555555555,-0.0005164930555555555,-0.0005164930555555555,-0.0005164930555555555,-0.0005164930555555555,-0.0005164930555555555,-0.0005164930555555555,-0.0005164930555555555,-0.0005164930555555555,-0.0005164930555555555,-0.0005164930555555555,-0.0005164930555555555,-0.0005164930555555555,-0.0005164930555555555,-0.0005164930555555555,-0.0005164930555555555,-0.0005164930555555555,-0.0005164930555555555,-0.0005164930555555555,-0.0005164930555555555,-0.0005164930555555555,-0.0005164930555555555,-0.0005164930555555555,-0.0005164930555555555,-0.0005164930555555555,-0.0005164930555555555,-0.0005164930555555555,-0.0005164930555555555,-0.0005164930555555555,-0.0005164930555555555,-0.0005164930555555555,-0.0005164930555555555,-0.0005164930555555555,-0.0005164930555555555,-0.0005164930555555555,-0.0005164930555555555,-0.0005164930555555555,-0.0005164930555555555,-0.0005164930555555555,-0.0005164930555555555,-0.0005164930555555555,-0.0005164930555555555,-0.0005164930555555555,-0.0005164930555555555,-0.0005164930555555555,-0.0005164930555555555,-0.0005164930555555555,0.0019965277777777776,0.011284722222222222,0.02006076388888889,0.03930555555555556,0.062213541666666664,0.07774305555555555,0.09712239583333333,0.11422309027777777,0.12731770833333333,0.1372092013888889,0.14536892361111112,0.15230902777777777,0.15717881944444445,0.1618923611111111,0.1663888888888889,0.17141493055555557,0.1753125,0.17933159722222222,0.18206597222222223,0.18514322916666667,0.18664930555555556,0.18822482638888888,0.19109375,0.19307725694444444,0.19506076388888888,0.1968923611111111,0.19828125,0.199609375,0.2014409722222222,0.2027560763888889,0.20439670138888888,0.2053125,0.20588541666666665,0.20645833333333333,0.20703125,0.20703125,0.20729166666666668,0.20729166666666668,0.20755642361111112,0.20782118055555557]","[0.0008203125,0.0008203125,0.0008203125,0.0008203125,0.0008203125,0.0008203125,0.0008203125,0.0008203125,0.0008203125,0.0008203125,0.0008203125,0.0008203125,0.0008203125,0.0008203125,0.0008203125,0.0008203125,0.0008203125,0.0008203125,0.0008203125,0.0008203125,0.0008203125,0.0008203125,0.0008203125,0.0008203125,0.0008203125,0.0008203125,0.0008203125,0.0008203125,0.0008203125,0.0008203125,0.0008203125,0.0008203125,0.0008203125,0.0008203125,0.0008203125,0.0008203125,0.0008203125,0.0008203125,0.0008203125,0.0008203125,0.0008203125,0.0008203125,0.0008203125,0.0008203125,0.0008203125,0.0008203125,0.0008203125,0.0008203125,0.0008203125,0.0008203125,0.0008203125,0.0008203125,0.0008203125,0.0008203125,0.0008203125,0.0008203125,0.0008203125,0.0008203125,0.0008203125,0.0008203125,0.0008203125,0.0008203125,0.0008203125,0.0008203125,0.0008203125,0.0008203125,0.0008203125,0.0008203125,0.0008203125,0.0008203125,0.0008203125,0.0008203125,0.0008203125,0.0008203125,0.0008203125,0.0008203125,0.0008203125,0.0008203125,0.0008203125,0.0008203125,0.0008203125,0.0008203125,0.0008203125,0.0008203125,0.0008203125,0.0008203125,0.0008203125,-0.002951388888888889,-0.0155078125,-0.028042534722222224,-0.05396701388888889,-0.08302951388888889,-0.1026953125,-0.1260546875,-0.1474782986111111,-0.16264322916666665,-0.17438368055555556,-0.18427083333333333,-0.19174479166666666,-0.19809461805555556,-0.20375434027777778,-0.21075520833333333,-0.21779513888888888,-0.22370659722222222,-0.23074652777777777,-0.23669270833333333,-0.24462239583333334,-0.24864583333333334,-0.25233072916666666,-0.2584765625,-0.2620355902777778,-0.26559895833333336,-0.2677777777777778,-0.2698611111111111,-0.27153645833333334,-0.27371527777777777,-0.2753776041666667,-0.2766840277777778,-0.2775998263888889,-0.27817274305555556,-0.2784592013888889,-0.2787456597222222,-0.2787456597222222,-0.2787456597222222,-0.2787456597222222,-0.27903211805555556,-0.27903211805555556]","[0.000914999982342124,0.01724999980069697,0.03208999987691641,0.04928499995730817,0.06560999993234873,0.08262000000104308,0.09941999986767769,0.11609999998472631,0.13309499993920326,0.15097499988041818,0.16775499982759356,0.1832049998920411,0.1995599998626858,0.21551499981433153,0.23157499986700714,0.24884499981999397,0.26645999983884394,0.2841899998020381,0.30000499985180795,0.3154999997932464,0.3327849998604506,0.34938499983400106,0.3650599999818951,0.3828749998938292,0.3985150000080466,0.41553499992005527,0.43339999997988343,0.4501849999651313,0.46615999983623624,0.48261499986983836,0.49918499984778464,0.5158649999648333,0.534999999916181,0.5505099999718368,0.5664649999234825,0.5823799998033792,0.5997399999760091,0.6157649999950081,0.6325349998660386,0.6501999997999519,0.6663799998350441,0.6831699998583645,0.6997049998026341,0.7160099998582155,0.7327550000045449,0.7502799998037517,0.7655399998184294,0.7822900000028312,0.7998299999162555,0.8173099998384714,0.833054999820888,0.8495799999218434,0.8663849998265505,0.883424999890849,0.9000949999317527,0.9157499999273568,0.9315599999390543,0.9504849999211729,0.9670700000133365,0.9833199998829514,1.0018799998797476,1.0156449999194592,1.032124999910593,1.0487999999895692,1.0649399999529123,1.0827549998648465,1.1006949997972697,1.1162399998866022,1.132549999980256,1.1488849997986108,1.165515000000596,1.1821699999272823,1.1983499999623746,1.2151049999520183,1.2334449999034405,1.249874999979511,1.2655050000175834,1.2826899997889996,1.299604999832809,1.3166199999395758,1.3322299998253584,1.3493999999482185,1.3664549998939037,1.383549999911338,1.399534999858588,1.4161099998746067,1.4323199999053031,1.4500549999065697,1.4674499998800457,1.4825849998742342,1.5001550000160933,1.5178499999456108,1.5336849999148399,1.5494199998211116,1.5666149999015033,1.5838499998208135,1.5993449999950826,1.6156999999657273,1.6341149997897446,1.6495550000108778,1.6679699998348951,1.685384999960661,1.7002299998421222,1.7174749998375773,1.7328099999576807,1.7505049998871982,1.7679800000041723,1.7831199998036027,1.7996499999426305,1.8163899998180568,1.8325949998106807,1.8494499998632818,1.8662349998485297,1.8836399998981506,1.9014649998862296,1.916569999884814,1.9332749999593943,1.9496999999973923,1.9665699999313802,1.982689999975264,2.0017349999397993,2.018049999838695,2.034009999828413,2.050119999796152,2.0658149998635054,2.082939999876544,2.0998649999964982]",0.207821181,-0.279032118,1,0,0,2.09898,distractor,0,0,0,4,1,prac,5,neutral,present,I like to bury my head in a book,-0.25,0.25,0.25,-0.25,R_2WHJqa4LcYlkYPV,A,2021-04-10_21h19.37.944,experiment,2020.2.6,MacIntel,60,,,,,,,,,,,,,,,,,,,
,,-0.009678819,0.000772569,1,0,0,fixation,-0.009678819,0.000772569,1,0,0,text_sentence,1,"[-0.19,0.31]","[0.19,-0.31]","[-0.009678819444444445,-0.009678819444444445,-0.009678819444444445,-0.009678819444444445,-0.009678819444444445,-0.009678819444444445,-0.009678819444444445,-0.009678819444444445,-0.009678819444444445,-0.009678819444444445,-0.009678819444444445,-0.009678819444444445,-0.009678819444444445,-0.009678819444444445,-0.009678819444444445,-0.009678819444444445,-0.009678819444444445,-0.009678819444444445,-0.009678819444444445,-0.009678819444444445,-0.009678819444444445,-0.009934895833333334,-0.018914930555555556,-0.03383246527777778,-0.057803819444444446,-0.07475260416666667,-0.09537326388888889,-0.1113671875,-0.12821180555555556,-0.1452517361111111,-0.16131510416666667,-0.17194010416666666,-0.18371961805555556,-0.18914496527777777,-0.1937109375,-0.19631944444444444,-0.1978732638888889,-0.198828125,-0.19911458333333334,-0.19940538194444443,-0.19940538194444443,-0.19969618055555555,-0.19969618055555555,-0.19969618055555555,-0.19969618055555555,-0.19969618055555555,-0.19969618055555555,-0.19969618055555555,-0.19944010416666666,-0.19944010416666666,-0.19917534722222222,-0.19917534722222222,-0.19917534722222222,-0.19917534722222222,-0.19891493055555556,-0.19891493055555556,-0.1986284722222222,-0.1983420138888889,-0.1983420138888889,-0.1983420138888889,-0.1983420138888889,-0.1983420138888889,-0.1983420138888889,-0.1983420138888889,-0.1983420138888889,-0.1983420138888889,-0.1983420138888889,-0.1983420138888889,-0.1983420138888889,-0.1983420138888889,-0.1983420138888889,-0.1983420138888889,-0.1983420138888889,-0.1983420138888889,-0.1983420138888889,-0.1983420138888889,-0.1983420138888889,-0.1983420138888889,-0.1983420138888889,-0.1983420138888889,-0.1983420138888889,-0.1983420138888889,-0.1983420138888889,-0.1983420138888889,-0.1983420138888889,-0.1983420138888889,-0.1983420138888889,-0.1983420138888889,-0.1983420138888889,-0.1983420138888889,-0.1983420138888889,-0.1983420138888889,-0.1983420138888889,-0.19875434027777777,-0.19875434027777777,-0.19875434027777777,-0.19875434027777777,-0.19875434027777777,-0.19875434027777777,-0.19875434027777777,-0.19875434027777777,-0.19875434027777777,-0.19875434027777777,-0.19875434027777777,-0.19841145833333335,-0.19809461805555556,-0.19777777777777777,-0.19777777777777777,-0.1974609375]","[0.0007725694444444444,0.0007725694444444444,0.0007725694444444444,0.0007725694444444444,0.0007725694444444444,0.0007725694444444444,0.0007725694444444444,0.0007725694444444444,0.0007725694444444444,0.0007725694444444444,0.0007725694444444444,0.0007725694444444444,0.0007725694444444444,0.0007725694444444444,0.0007725694444444444,0.0007725694444444444,0.0007725694444444444,0.0007725694444444444,0.0007725694444444444,0.0007725694444444444,0.0007725694444444444,0.0007725694444444444,0.0055859375,0.01708767361111111,0.03874131944444444,0.05493489583333333,0.077890625,0.09768229166666667,0.12176215277777777,0.15160590277777777,0.18034722222222221,0.19805555555555557,0.2179470486111111,0.2266796875,0.2337890625,0.23808159722222222,0.24036458333333333,0.24163628472222223,0.24192708333333332,0.24250868055555555,0.24250868055555555,0.2427777777777778,0.2427777777777778,0.243046875,0.243046875,0.243046875,0.243046875,0.243046875,0.243046875,0.2427777777777778,0.2427777777777778,0.2427777777777778,0.24251302083333334,0.24251302083333334,0.24251302083333334,0.24251302083333334,0.2422482638888889,0.24196180555555555,0.24196180555555555,0.24196180555555555,0.24196180555555555,0.24196180555555555,0.24196180555555555,0.24196180555555555,0.24196180555555555,0.24196180555555555,0.24196180555555555,0.24196180555555555,0.24196180555555555,0.24196180555555555,0.24196180555555555,0.24196180555555555,0.24196180555555555,0.24196180555555555,0.24196180555555555,0.24196180555555555,0.24196180555555555,0.24196180555555555,0.24196180555555555,0.24196180555555555,0.24196180555555555,0.24196180555555555,0.24196180555555555,0.24196180555555555,0.24196180555555555,0.24196180555555555,0.24196180555555555,0.24196180555555555,0.24196180555555555,0.24196180555555555,0.24222222222222223,0.24579427083333333,0.24987413194444444,0.2544748263888889,0.258046875,0.26108506944444443,0.26276909722222225,0.2640407986111111,0.26526041666666667,0.2658984375,0.2678689236111111,0.2695486111111111,0.27208333333333334,0.2746484375,0.27720052083333335,0.2788845486111111,0.2801605902777778,0.2814279513888889,0.28234375]","[0.0000950000248849392,0.01675000018440187,0.03153500007465482,0.04850500007160008,0.06505000009201467,0.08211500011384487,0.09759000013582408,0.11435000016354024,0.1317900000140071,0.14834500011056662,0.16570000001229346,0.18148500006645918,0.19844500022009015,0.21425499999895692,0.23289500013925135,0.24861000012606382,0.26555000012740493,0.2817450000438839,0.29878500010818243,0.3149000001139939,0.33128500008024275,0.34871000004932284,0.3648650001268834,0.38294000015594065,0.3991800001822412,0.41518000001087785,0.4315000001806766,0.44820500002242625,0.4655250001233071,0.4819450001232326,0.5004750001244247,0.5166050000116229,0.5326000000350177,0.5489250000100583,0.5652050001081079,0.5816800000611693,0.5979800000786781,0.6156700002029538,0.6338800000958145,0.6504950001835823,0.6653350000269711,0.6819250001572073,0.6987800002098083,0.7152350000105798,0.731255000224337,0.74792500003241,0.7660350000951439,0.7827200000174344,0.7991950002033263,0.8155550002120435,0.8325650000479072,0.8492450001649559,0.8651000000536442,0.8813000000081956,0.8978150000330061,0.9146450001280755,0.9326050002127886,0.9487000000663102,0.9653100001160055,0.9807750000618398,0.9986750001553446,1.0149850000161678,1.0308550000190735,1.048820000141859,1.0651300000026822,1.081670000217855,1.0979550001211464,1.1150150001049042,1.1316900001838803,1.1484500002115965,1.1650950000621378,1.1822800000663847,1.1984650001395494,1.2151950001716614,1.2317750002257526,1.2482650000602007,1.2651100000366569,1.2822850001975894,1.3004800002090633,1.315635000122711,1.3332250001840293,1.348435000050813,1.3660950001794845,1.3813550001941621,1.3987400000914931,1.4177500000223517,1.4312900002114475,1.4488600001204759,1.4668900000397116,1.4818000001832843,1.5002500000409782,1.5151600001845509,1.531490000197664,1.5482300000730902,1.56819500005804,1.5823550000786781,1.5998200001195073,1.6171750000212342,1.6335950000211596,1.6493900001514703,1.6663000001572073,1.682160000083968,1.7002350001130253,1.7163450000807643,1.7333900001831353,1.7483600000850856,1.765590000199154,1.7826500001829118,1.8023400001693517]",-0.197460937,0.28234375,1,0,0,1.80226,target,0,1,1,0,1,prac,1,anxiety,past,I was up a height,-0.25,0.25,0.25,-0.25,R_2WHJqa4LcYlkYPV,A,2021-04-10_21h19.37.944,experiment,2020.2.6,MacIntel,60,,,,,,,,,,,,,,,,,,,
,,0.00734809,-0.002365451,1,0,0,fixation,0.001753472,-0.016770833,1,0,0,text_sentence,1,"[0.35,-0.15]","[-0.35,0.15]","[0.0017534722222222222,0.0017534722222222222,0.0017534722222222222,0.0017534722222222222,0.0017534722222222222,0.0017534722222222222,0.0017534722222222222,0.0017534722222222222,0.0017534722222222222,0.0017534722222222222,0.0017534722222222222,0.0017534722222222222,0.0017534722222222222,0.0017534722222222222,0.0017534722222222222,0.0017534722222222222,0.0017534722222222222,0.0017534722222222222,0.0017534722222222222,0.0017534722222222222,0.0017534722222222222,0.0017534722222222222,0.0017534722222222222,0.0017534722222222222,0.00890625,0.01623263888888889,0.024205729166666665,0.041375868055555556,0.055828993055555554,0.08013020833333333,0.10330729166666666,0.12626736111111111,0.1488107638888889,0.1751779513888889,0.20417100694444446,0.23291666666666666,0.2532421875,0.2873350694444444,0.2952300347222222,0.31101996527777775,0.32581163194444446,0.3396050347222222,0.3505815972222222,0.36065104166666667,0.36973090277777776,0.37442274305555556,0.3784592013888889,0.3805208333333333,0.38144097222222223,0.38235677083333336,0.3829296875,0.3829296875,0.38319444444444445,0.38319444444444445,0.3834548611111111,0.3834548611111111,0.3834548611111111,0.3834548611111111,0.3834548611111111,0.3834548611111111,0.38211805555555556,0.3780338541666667,0.3765190972222222,0.3737890625,0.3725130208333333,0.37158420138888887,0.3710026041666667,0.37042100694444446,0.36983940972222223,0.3695529513888889,0.36897135416666665,0.36868055555555557,0.36811631944444445,0.36811631944444445,0.3678298611111111,0.36756076388888886,0.36756076388888886,0.36756076388888886,0.36756076388888886,0.36756076388888886]","[-0.016770833333333332,-0.016770833333333332,-0.016770833333333332,-0.016770833333333332,-0.016770833333333332,-0.016770833333333332,-0.016770833333333332,-0.016770833333333332,-0.016770833333333332,-0.016770833333333332,-0.016770833333333332,-0.016770833333333332,-0.016770833333333332,-0.016770833333333332,-0.016770833333333332,-0.016770833333333332,-0.016770833333333332,-0.016770833333333332,-0.016770833333333332,-0.016770833333333332,-0.016770833333333332,-0.016770833333333332,-0.016770833333333332,-0.016770833333333332,-0.016770833333333332,-0.016770833333333332,-0.016770833333333332,-0.016770833333333332,-0.018146701388888888,-0.023467881944444446,-0.030416666666666668,-0.03927951388888889,-0.04980034722222222,-0.06419270833333333,-0.07985243055555556,-0.0962890625,-0.10746527777777778,-0.12340711805555556,-0.12735243055555556,-0.13458767361111112,-0.14163628472222223,-0.14915364583333332,-0.15491753472222222,-0.16141059027777777,-0.16624565972222222,-0.16838541666666668,-0.17000868055555557,-0.17104166666666668,-0.17135850694444443,-0.17135850694444443,-0.17135850694444443,-0.17135850694444443,-0.17135850694444443,-0.17135850694444443,-0.17135850694444443,-0.17135850694444443,-0.17135850694444443,-0.17135850694444443,-0.17135850694444443,-0.17080729166666667,-0.16944010416666666,-0.16756944444444444,-0.16680989583333333,-0.16578559027777778,-0.16546440972222223,-0.16514322916666666,-0.16485243055555557,-0.16485243055555557,-0.16456163194444445,-0.16427083333333334,-0.16398003472222222,-0.1636892361111111,-0.1636892361111111,-0.1634157986111111,-0.1634157986111111,-0.1634157986111111,-0.1634157986111111,-0.1634157986111111,-0.1634157986111111,-0.1634157986111111]","[0.0001050001010298729,0.0159750001039356,0.0333600000012666,0.050324999960139394,0.06614500004798174,0.08379999990575016,0.0997299998998642,0.11645000008866191,0.13300999999046326,0.1498600000049919,0.16639499994926155,0.1826349999755621,0.19926999998278916,0.2154500000178814,0.23281499999575317,0.24928499991074204,0.26688500004820526,0.28316499991342425,0.29970000009052455,0.31637999997474253,0.3319900000933558,0.350414999993518,0.36684000003151596,0.38326999987475574,0.4007149999961257,0.41730999993160367,0.4345700000412762,0.45125499996356666,0.4695449999999255,0.483669999986887,0.5053699999116361,0.5214849999174476,0.5327649998944253,0.5491949999704957,0.5661299999337643,0.5848950000945479,0.6025950000621378,0.6193099999800324,0.6344900000840425,0.6511500000488013,0.6665999998804182,0.6826750000473112,0.6994749999139458,0.717244999948889,0.7349799999501556,0.7508099998813123,0.7684100000187755,0.7846349999308586,0.7996749999001622,0.8178650001063943,0.837254999903962,0.851289999904111,0.8677099999040365,0.8838299999479204,0.9001700000371784,0.9179199999198318,0.9327050000429153,0.9499150000046939,0.9663499998860061,0.9830650000367314,1.0017500000540167,1.0182000000495464,1.0336849999148399,1.050455000018701,1.0672049999702722,1.0831849998794496,1.0996799999848008,1.1161299999803305,1.1343149999156594,1.1502849999815226,1.166925000026822,1.1842000000178814,1.200219999998808,1.2166399999987334,1.232289999956265,1.2505950001068413,1.265845000045374,1.2817700000014156,1.3002200000919402,1.316425000084564]",0.367560764,-0.163415799,1,0,0,1.316345,target,0,2,2,5,1,prac,6,neutral,present,He invested a lot in the relationship,0.25,-0.25,-0.25,0.25,R_2WHJqa4LcYlkYPV,A,2021-04-10_21h19.37.944,experiment,2020.2.6,MacIntel,60,,,,,,,,,,,,,,,,,,,
,,-0.000525174,-0.000611979,1,0,0,fixation,-0.000525174,-0.000611979,1,0,0,text_sentence,1,"[0.35,-0.15]","[-0.35,0.15]","[-0.0005251736111111111,-0.0005251736111111111,-0.0005251736111111111,-0.0005251736111111111,-0.0005251736111111111,-0.0005251736111111111,-0.0005251736111111111,-0.0005251736111111111,-0.0005251736111111111,-0.0005251736111111111,-0.0005251736111111111,-0.0005251736111111111,-0.0005251736111111111,-0.0005251736111111111,-0.0005251736111111111,-0.0005251736111111111,-0.0005251736111111111,-0.0005251736111111111,-0.0005251736111111111,-0.0005251736111111111,-0.0005251736111111111,0.0026302083333333334,0.009956597222222223,0.022721354166666666,0.045325520833333334,0.07573350694444445,0.11054253472222222,0.15284288194444445,0.16586371527777777,0.1976388888888889,0.21208333333333335,0.22887586805555554,0.24427517361111112,0.26470486111111113,0.27034722222222224,0.2796484375,0.2816579861111111,0.2816579861111111,0.2816579861111111,0.2816579861111111,0.2816579861111111,0.2816579861111111,0.2816579861111111,0.2816579861111111,0.2816579861111111,0.2816579861111111,0.2816579861111111,0.2816579861111111,0.2816579861111111,0.2816579861111111,0.2816579861111111,0.2816579861111111,0.2816579861111111,0.2816579861111111,0.2824305555555556,0.303828125,0.32003038194444444,0.3403819444444444,0.35333333333333333,0.3646918402777778,0.37063802083333336,0.37319444444444444,0.37452256944444445,0.3750911458333333,0.3750911458333333,0.3750911458333333,0.3750911458333333,0.3750911458333333,0.3748003472222222,0.37418836805555555,0.3736067708333333,0.3730295138888889,0.3730295138888889]","[-0.0006119791666666667,-0.0006119791666666667,-0.0006119791666666667,-0.0006119791666666667,-0.0006119791666666667,-0.0006119791666666667,-0.0006119791666666667,-0.0006119791666666667,-0.0006119791666666667,-0.0006119791666666667,-0.0006119791666666667,-0.0006119791666666667,-0.0006119791666666667,-0.0006119791666666667,-0.0006119791666666667,-0.0006119791666666667,-0.0006119791666666667,-0.0006119791666666667,-0.0006119791666666667,-0.0006119791666666667,-0.0006119791666666667,-0.0006119791666666667,-0.0035633680555555557,-0.009123263888888889,-0.018919270833333335,-0.030512152777777777,-0.04569010416666667,-0.06578559027777778,-0.07311197916666666,-0.09075086805555556,-0.10062065972222223,-0.11252604166666667,-0.12579861111111112,-0.14293402777777778,-0.14857638888888888,-0.1596701388888889,-0.1657421875,-0.1657421875,-0.1657421875,-0.1657421875,-0.1657421875,-0.1657421875,-0.1657421875,-0.1657421875,-0.1657421875,-0.1657421875,-0.1657421875,-0.1657421875,-0.1657421875,-0.1657421875,-0.1657421875,-0.1657421875,-0.1657421875,-0.1657421875,-0.1657421875,-0.1657421875,-0.16642795138888888,-0.16711371527777777,-0.16711371527777777,-0.16711371527777777,-0.16711371527777777,-0.16711371527777777,-0.16711371527777777,-0.16711371527777777,-0.16684461805555556,-0.16684461805555556,-0.16598958333333333,-0.16569878472222221,-0.1651171875,-0.16418836805555556,-0.16360677083333333,-0.1630295138888889,-0.1630295138888889]","[0.00021500000730156898,0.015845000045374036,0.031845000106841326,0.049820000072941184,0.06594500015489757,0.08224000013433397,0.09856000007130206,0.11612500017508864,0.13216000003740191,0.14857499999925494,0.16518000001087785,0.18259500013664365,0.20003000018186867,0.21621500002220273,0.23190000001341105,0.24956999998539686,0.2652700000908226,0.28251000004820526,0.2994399999734014,0.31612000009045005,0.3318849999923259,0.3493600001093,0.36592500004917383,0.3827049999963492,0.39882000000216067,0.41679500020109117,0.43416000017896295,0.45276000001467764,0.4668300000485033,0.4821800000499934,0.4986800001934171,0.5153750001918525,0.5324750000145286,0.5502550001256168,0.5663700001314282,0.5842850001063198,0.5990050002001226,0.6175350002013147,0.6341000001411885,0.6490500001236796,0.6662850000429899,0.6825149999931455,0.6990549999754876,0.7161100001540035,0.7343450000043958,0.7486350000835955,0.7657950001303107,0.78298500017263,0.7991000001784414,0.815815000096336,0.8325600000098348,0.8489000000990927,0.8661500001326203,0.8831250001676381,0.8998500001616776,0.9182400000281632,0.9324400001205504,0.9520950000733137,0.9703800000716001,0.9826299999840558,1.0005000000819564,1.0174300000071526,1.036030000075698,1.0492899999953806,1.0705350001808256,1.083240000065416,1.1030500000342727,1.1163250000681728,1.1327949999831617,1.1488550000358373,1.1690550001803786,1.1855350001715124,1.1989100000355393]",0.373029514,-0.163029514,1,0,0,1.19868,target,0,3,3,3,1,prac,4,depress,future,Below the surface will be sadness ,0.25,-0.25,-0.25,0.25,R_2WHJqa4LcYlkYPV,A,2021-04-10_21h19.37.944,experiment,2020.2.6,MacIntel,60,,,,,,,,,,,,,,,,,,,
