key_instructions.keys,key_instructions.rt,mouse_fixation_2.x,mouse_fixation_2.y,mouse_fixation_2.leftButton,mouse_fixation_2.midButton,mouse_fixation_2.rightButton,mouse_fixation_2.clicked_name,mouse_sentence_2.x,mouse_sentence_2.y,mouse_sentence_2.leftButton,mouse_sentence_2.midButton,mouse_sentence_2.rightButton,mouse_sentence_2.clicked_name,correct,target_position,distractor_position,mouse_x,mouse_y,mouse_time,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,list,item,emotion,tense,sentence,target_x,target_y,distract_x,distract_y,participant,condition,date,expName,psychopyVersion,OS,frameRate
space,6.13453,-0.003703621,0.000925911,1,0,0,fixation,0.053703732,-0.0101852,1,0,0,text_sentence,1,"[-0.19,0.31]","[0.19,-0.31]","[0.053703731795152025,0.053703731795152025,0.053703731795152025,0.053703731795152025,0.053703731795152025,0.053703731795152025,0.053703731795152025,0.053703731795152025,0.053703731795152025,0.053703731795152025,0.053703731795152025,0.053703731795152025,0.053703731795152025,0.053703731795152025,0.053703731795152025,0.053703731795152025,0.053703731795152025,0.053703731795152025,0.053703731795152025,0.053703731795152025,0.053703731795152025,0.053703731795152025,0.053703731795152025,0.053703731795152025,0.05462971426270795,0.05648150965571404,0.057407492123269954,0.057407492123269954,0.05833336156275537,0.06018521346979671,0.06018521346979671,0.06018521346979671,0.06018521346979671,0.06018521346979671,0.06018521346979671,0.06018521346979671,0.06018521346979671,0.06018521346979671,0.06018521346979671,0.06018521346979671,0.059259287516276044,0.05833336156275537,0.05833336156275537,0.05648150965571404,0.05648150965571404,0.05648150965571404,0.05648150965571404,0.053703731795152025,0.05277780584163136,0.05277780584163136,0.05277780584163136,0.05185193640214594,0.05185193640214594,0.05185193640214594,0.05185193640214594,0.05185193640214594,0.05185193640214594,0.05000002798106935,0.046296380681021924,0.04444447225994534,0.0351852692387739,0.03148150891065597,0.024074157796525872,0.01111113793320126,-0.00555552923017078,-0.024999974254104825,-0.058333308580848904,-0.097222198628717,-0.12222219937377506,-0.13055553295546107,-0.13611108867658508,-0.1425925138371945,-0.1425925138371945,-0.14351849630475044,-0.14444442225827112,-0.14444442225827112,-0.1472222001188331,-0.14907405202587445,-0.14907405202587445,-0.15092584741888054,-0.15092584741888054,-0.15648140314000455,-0.16203695886112857,-0.16944442300332918,-0.17407405277093252,-0.17870368253853586,-0.17870368253853586,-0.1805555344455772,-0.18240738635261852,-0.18425923825965987,-0.18611109016670122,-0.18611109016670122,-0.18611109016670122,-0.18611109016670122,-0.18611109016670122,-0.18611109016670122,-0.18611109016670122]","[-0.010185200389888552,-0.010185200389888552,-0.010185200389888552,-0.010185200389888552,-0.010185200389888552,-0.010185200389888552,-0.010185200389888552,-0.010185200389888552,-0.010185200389888552,-0.010185200389888552,-0.010185200389888552,-0.010185200389888552,-0.010185200389888552,-0.010185200389888552,-0.010185200389888552,-0.010185200389888552,-0.010185200389888552,-0.010185200389888552,-0.010185200389888552,-0.010185200389888552,-0.010185200389888552,-0.010185200389888552,-0.010185200389888552,-0.010185200389888552,-0.009259274436367882,-0.009259274436367882,-0.009259274436367882,-0.009259274436367882,-0.01111112634340922,-0.012962978250450558,-0.012962978250450558,-0.013888904203971228,-0.015740756111012565,-0.015740756111012565,-0.0175926080180539,-0.0175926080180539,-0.0175926080180539,-0.021296311832136577,-0.021296311832136577,-0.021296311832136577,-0.021296311832136577,-0.022222237785657246,-0.022222237785657246,-0.024074089692698586,-0.024074089692698586,-0.024074089692698586,-0.024074089692698586,-0.024074089692698586,-0.025000015646219252,-0.025000015646219252,-0.025000015646219252,-0.025925941599739922,-0.025925941599739922,-0.025925941599739922,-0.025925941599739922,-0.025925941599739922,-0.025925941599739922,-0.025925941599739922,-0.02777779350678126,-0.02777779350678126,-0.030555571367343267,-0.030555571367343267,-0.030555571367343267,-0.030555571367343267,-0.030555571367343267,-0.01203705229692989,0.024999985843896864,0.07592591328753365,0.11666665524244309,0.13425924835933578,0.15277776742974916,0.16018517505791452,0.16944443459312122,0.17592591626776588,0.17777776817480723,0.18148147198888992,0.18796295366353458,0.19166665747761727,0.19722221319874128,0.20555554678042728,0.21388888036211332,0.22962962157196468,0.24537036278181606,0.26574073375927076,0.27499999329447744,0.28425923870117537,0.28981479442229935,0.29629629022545284,0.29999999403953553,0.30462962380713887,0.30740740166770086,0.3092592394462334,0.3092592394462334,0.31111110548178356,0.31111110548178356,0.31111110548178356,0.31111110548178356]","[0.00022000004537403584,0.016490000067278743,0.02970500010997057,0.04596500005573034,0.06335500010754913,0.08252500009257346,0.09719500003848225,0.11284499999601394,0.13034000003244728,0.14598000003024936,0.16308000008575618,0.17981500003952533,0.1959900000365451,0.21272500010672957,0.22969000006560236,0.24603500007651746,0.26345000008586794,0.27988000004552305,0.29621000005863607,0.31501500005833805,0.33348000003024936,0.3461050000041723,0.36308000003919005,0.3797950000735,0.3969550000037998,0.41660500003490597,0.43336000002454966,0.4460400000680238,0.4643100000685081,0.4833550000330433,0.4996900000842288,0.5131200000178069,0.5340850000502542,0.5494800000451505,0.5660200000274926,0.5795700000599027,0.5959250000305474,0.6141300000017509,0.6327900000615045,0.6511850000824779,0.6636900000739843,0.6829950000392273,0.6993450000882149,0.71378500002902,0.7329350000945851,0.7461700000567362,0.7626700000837445,0.7827350000152364,0.800080000073649,0.8169050000142306,0.8291850000387058,0.8472800001036376,0.8666900000534952,0.8793850000947714,0.8962049999972805,0.9131000000052154,0.929355000029318,0.9464150000130758,0.9662300000200048,0.9829350000945851,1.0002400000812486,1.0174700000789016,1.0340450000949204,1.0508400000398979,1.0666450000135228,1.0828600000822917,1.1002900000894442,1.1161300000967458,1.1338350001024082,1.149585000006482,1.1661100001074374,1.1832100000465289,1.1994000000413507,1.2170150000602007,1.2340250000124797,1.2494250000454485,1.267045000102371,1.2831600001081824,1.3001250000670552,1.3168650000588968,1.3339600000763312,1.3493449999950826,1.3668850000249222,1.3837100000819191,1.3994100000709295,1.4170300000114366,1.4338100000750273,1.4504450000822544,1.4667900000931695,1.4836600000271574,1.4994799999985844,1.5169050000840798,1.5336499999975786,1.5502500000875443,1.5667750000720844,1.5793150000972673,1.595755000016652]",-0.18611109,0.311111105,1,0,0,1.59555,target,0,0,0,4,1,prac,5,neutral,present,I like to bury my head in a book,-0.25,0.25,0.25,-0.25,R_10SkdKJ4dYzQScm,A,2021-03-01_08h59.20.999,experiment,2020.2.6,Win32,60
,,0.000925952,-0.001851867,1,0,0,fixation,-0.008073715,-0.001730119,1,0,0,text_sentence,0,"[-0.19,-0.19]","[0.19,0.19]","[-0.00807371460580011,-0.00807371460580011,-0.00807371460580011,-0.00807371460580011,-0.00807371460580011,-0.00807371460580011,-0.00807371460580011,-0.00807371460580011,-0.00807371460580011,-0.00807371460580011,-0.00807371460580011,-0.00807371460580011,-0.00807371460580011,-0.00807371460580011,-0.00807371460580011,-0.00807371460580011,-0.00807371460580011,-0.00807371460580011,-0.00807371460580011,-0.00807371460580011,-0.00807371460580011,-0.00807371460580011,-0.00807371460580011,-0.00807371460580011,-0.00807371460580011,-0.00807371460580011,-0.00807371460580011,-0.00807371460580011,-0.00807371460580011,-0.00807371460580011,-0.00807371460580011,-0.00807371460580011,-0.00807371460580011,-0.00807371460580011,-0.00807371460580011,-0.00807371460580011,-0.00807371460580011,-0.00807371460580011,-0.00807371460580011,-0.0057669798601869895,0.01960794711883165,0.04382940112788444,0.07843140788556795,0.12110730304437525,0.17185701620620014,0.1995386779308319,0.2133795087931478,0.21914652165244608,0.22491353451174437,0.22491353451174437,0.22491353451174437,0.22491353451174437,0.226066937083604,0.226066937083604,0.226066937083604,0.226066937083604,0.2214533267961654,0.2179931190805864,0.21222610622128812,0.20876589850570917,0.20645909336198984,0.2029988856464109,0.20184548307455122,0.1995386779308319,0.1995386779308319,0.19838527535897224,0.19838527535897224,0.19838527535897224,0.19838527535897224,0.19838527535897224]","[-0.0017301187589506789,-0.0017301187589506789,-0.0017301187589506789,-0.0017301187589506789,-0.0017301187589506789,-0.0017301187589506789,-0.0017301187589506789,-0.0017301187589506789,-0.0017301187589506789,-0.0017301187589506789,-0.0017301187589506789,-0.0017301187589506789,-0.0017301187589506789,-0.0017301187589506789,-0.0017301187589506789,-0.0017301187589506789,-0.0017301187589506789,-0.0017301187589506789,-0.0017301187589506789,-0.0017301187589506789,-0.0017301187589506789,-0.0017301187589506789,-0.0017301187589506789,-0.0017301187589506789,-0.0017301187589506789,-0.0017301187589506789,-0.0017301187589506789,-0.0017301187589506789,-0.0017301187589506789,-0.0017301187589506789,-0.0017301187589506789,-0.0017301187589506789,-0.0017301187589506789,-0.0017301187589506789,-0.0017301187589506789,-0.0017301187589506789,-0.0017301187589506789,-0.0017301187589506789,-0.0017301187589506789,-0.002883556529863432,0.005190296672207262,0.015570919818944172,0.03056515325311971,0.05132639954659353,0.07208764584006735,0.08477507413052357,0.09284889213354117,0.09861590499283945,0.1055363204239974,0.1055363204239974,0.10668972299585705,0.10668972299585705,0.11014993071143603,0.11014993071143603,0.11245673585515534,0.11707034614259397,0.12629756671747122,0.13552475209329537,0.14359860529536608,0.15282579067119023,0.1562859983867692,0.15974620610234816,0.16320641381792714,0.1689734618762785,0.17012682924908507,0.17128026701999782,0.17128026701999782,0.17128026701999782,0.17128026701999782,0.17128026701999782]","[0.00006999995093792677,0.01636000000871718,0.03320999990683049,0.04994499997701496,0.0662599999923259,0.0833599999314174,0.09976499993354082,0.11644999997224659,0.13296999991871417,0.14996999991126359,0.16643499990459532,0.18349999992642552,0.1999699999578297,0.2163799999980256,0.23297999997157604,0.24997999996412545,0.2662449999479577,0.28290499991271645,0.29988499998580664,0.31652499991469085,0.33296999998856336,0.34990999998990446,0.36655499995686114,0.38304499990772456,0.3996349999215454,0.4168099999660626,0.43293499993160367,0.44986499997321516,0.46655999997165054,0.48301500000525266,0.4998749999795109,0.516399999964051,0.5329599999822676,0.5498199999565259,0.566469999961555,0.5828500000061467,0.5999349999474362,0.6161899999715388,0.6330649999435991,0.6496749999932945,0.6664399999426678,0.6830699999118224,0.699724999954924,0.7163500000024214,0.7330199999269098,0.7499349999707192,0.7666299999691546,0.7831499999156222,0.800029999925755,0.8162549999542534,0.8334999999497086,0.84969999990426,0.8663549999473616,0.883049999945797,0.8996849999530241,0.9165649999631569,0.9329750000033528,0.9499749999959022,0.9664849999826401,0.9831899999408051,0.999695000005886,1.016414999961853,1.033449999988079,1.0498299999162555,1.0666049999417737,1.0831349999643862,1.0997750000096858,1.1162749999202788,1.132924999925308,1.1493699999991804]",0.198385275,0.171280267,1,0,0,1.1493,distractor,0,1,1,2,1,prac,3,depress,past,Below the surface was sadness ,-0.25,-0.25,0.25,0.25,R_10SkdKJ4dYzQScm,A,2021-03-01_08h59.20.999,experiment,2020.2.6,Win32,60
