effect,group,term,estimate,std.error,statistic,p.value
fixed,NA,(Intercept),-0.098833426,0.140729992,-0.702291133,0.482497622
fixed,NA,X_1,0.487230187,0.147342145,3.30679444,9.44E-04
fixed,NA,X_2,-0.649106599,0.185485247,-3.499505267,4.66E-04
ran_pars,subj_id,sd__(Intercept),1.07167698,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).X_1,-0.0940686,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).X_2,0.241123563,NA,NA,NA
ran_pars,subj_id,sd__X_1,0.63537077,NA,NA,NA
ran_pars,subj_id,cor__X_1.X_2,-0.096017408,NA,NA,NA
ran_pars,subj_id,sd__X_2,1.271546344,NA,NA,NA
ran_pars,item_id,sd__(Intercept),0.464929849,NA,NA,NA
fixed,NA,(Intercept),0.081170843,0.128164918,0.633331211,0.526517376
