effect,group,term,estimate,std.error,statistic,p.value
ran_pars,item_id,sd__(Intercept),0.455042503,NA,NA,NA
fixed,NA,(Intercept),-0.072696277,0.141692787,-0.513055595,0.607912432
fixed,NA,X_1,0.533890684,0.145798732,3.661833518,2.50E-04
fixed,NA,X_2,-0.793289893,0.205127698,-3.867297781,1.10E-04
ran_pars,subj_id,sd__(Intercept),1.058878908,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).X_1,0.273294301,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).X_2,0.210915139,NA,NA,NA
ran_pars,subj_id,sd__X_1,0.489706715,NA,NA,NA
ran_pars,subj_id,cor__X_1.X_2,-0.383195963,NA,NA,NA
ran_pars,subj_id,sd__X_2,1.499972804,NA,NA,NA
ran_pars,item_id,sd__(Intercept),0.481697035,NA,NA,NA
fixed,NA,(Intercept),0.038214794,0.140577453,0.271841561,0.785743847
fixed,NA,X_1,0.400718527,0.152140452,2.633872326,0.008441722
fixed,NA,X_2,-0.608061567,0.215239691,-2.825043857,0.004727414
ran_pars,subj_id,sd__(Intercept),1.013831205,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).X_1,-0.135341286,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).X_2,0.248684925,NA,NA,NA
ran_pars,subj_id,sd__X_1,0.572010782,NA,NA,NA
ran_pars,subj_id,cor__X_1.X_2,-0.179107081,NA,NA,NA
ran_pars,subj_id,sd__X_2,1.610239513,NA,NA,NA
ran_pars,item_id,sd__(Intercept),0.499514215,NA,NA,NA
fixed,NA,(Intercept),0.087990689,0.133778819,0.657732593,0.510709975
fixed,NA,X_1,0.397321588,0.138099082,2.877076251,0.004013786
fixed,NA,X_2,-0.854137573,0.178302003,-4.790398091,1.66E-06
ran_pars,subj_id,sd__(Intercept),1.00142659,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).X_1,-0.296942837,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).X_2,0.117587467,NA,NA,NA
ran_pars,subj_id,sd__X_1,0.493114348,NA,NA,NA
ran_pars,subj_id,cor__X_1.X_2,-0.365659632,NA,NA,NA
ran_pars,subj_id,sd__X_2,1.216441644,NA,NA,NA
ran_pars,item_id,sd__(Intercept),0.449398515,NA,NA,NA
fixed,NA,(Intercept),-0.023484937,0.135493168,-0.17332931,0.862392586
fixed,NA,X_1,0.470225864,0.147385333,3.190452223,0.001420503
fixed,NA,X_2,-0.682841626,0.200954651,-3.397988657,6.79E-04
ran_pars,subj_id,sd__(Intercept),0.897337366,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).X_1,0.24533589,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).X_2,0.166393728,NA,NA,NA
ran_pars,subj_id,sd__X_1,0.159775822,NA,NA,NA
ran_pars,subj_id,cor__X_1.X_2,-0.160611533,NA,NA,NA
ran_pars,subj_id,sd__X_2,1.365836098,NA,NA,NA
ran_pars,item_id,sd__(Intercept),0.523577687,NA,NA,NA
fixed,NA,(Intercept),0.032697751,0.134835424,0.242501192,0.808391833
fixed,NA,X_1,0.188684535,0.138407857,1.363250167,0.172803681
fixed,NA,X_2,-0.733890942,0.205758072,-3.566766229,3.61E-04
ran_pars,subj_id,sd__(Intercept),1.028654578,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).X_1,0.075248632,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).X_2,0.072435355,NA,NA,NA
ran_pars,subj_id,sd__X_1,0.549047569,NA,NA,NA
ran_pars,subj_id,cor__X_1.X_2,0.140047012,NA,NA,NA
ran_pars,subj_id,sd__X_2,1.603432556,NA,NA,NA
ran_pars,item_id,sd__(Intercept),0.440129121,NA,NA,NA
fixed,NA,(Intercept),-0.031640403,0.149745647,-0.211294307,0.832657625
fixed,NA,X_1,0.606672304,0.145219804,4.177614118,2.95E-05
fixed,NA,X_2,-0.559132644,0.192496608,-2.904636354,0.0036768
ran_pars,subj_id,sd__(Intercept),1.171096175,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).X_1,-0.142879232,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).X_2,0.26755618,NA,NA,NA
ran_pars,subj_id,sd__X_1,0.490008611,NA,NA,NA
ran_pars,subj_id,cor__X_1.X_2,-0.155409391,NA,NA,NA
ran_pars,subj_id,sd__X_2,1.330802459,NA,NA,NA
ran_pars,item_id,sd__(Intercept),0.478264383,NA,NA,NA
fixed,NA,(Intercept),-0.118482947,0.140679281,-0.84222031,0.399664648
fixed,NA,X_1,0.32343746,0.1394976,2.318587983,0.020417387
fixed,NA,X_2,-0.635256841,0.188203098,-3.375379295,7.37E-04
ran_pars,subj_id,sd__(Intercept),1.081788934,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).X_1,-0.240165088,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).X_2,0.188481195,NA,NA,NA
ran_pars,subj_id,sd__X_1,0.481152616,NA,NA,NA
ran_pars,subj_id,cor__X_1.X_2,-0.167552828,NA,NA,NA
ran_pars,subj_id,sd__X_2,1.328632194,NA,NA,NA
ran_pars,item_id,sd__(Intercept),0.457443401,NA,NA,NA
fixed,NA,(Intercept),-0.133021866,0.129529916,-1.026958632,0.304439944
fixed,NA,X_1,0.570318944,0.130590149,4.367243216,1.26E-05
fixed,NA,X_2,-0.713831757,0.21441433,-3.329216646,8.71E-04
ran_pars,subj_id,sd__(Intercept),1.005420029,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).X_1,-0.054306095,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).X_2,0.421218208,NA,NA,NA
ran_pars,subj_id,sd__X_1,0.527877427,NA,NA,NA
ran_pars,subj_id,cor__X_1.X_2,-0.031804876,NA,NA,NA
ran_pars,subj_id,sd__X_2,1.743182842,NA,NA,NA
ran_pars,item_id,sd__(Intercept),0.407260602,NA,NA,NA
fixed,NA,(Intercept),0.25071323,0.146120417,1.715798759,0.086198881
fixed,NA,X_1,0.158599871,0.140583821,1.128151659,0.259255875
fixed,NA,X_2,-0.716207012,0.194151777,-3.688902684,2.25E-04
ran_pars,subj_id,sd__(Intercept),1.145193392,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).X_1,0.045222394,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).X_2,0.385290367,NA,NA,NA
ran_pars,subj_id,sd__X_1,0.457643847,NA,NA,NA
ran_pars,subj_id,cor__X_1.X_2,0.08793726,NA,NA,NA
ran_pars,subj_id,sd__X_2,1.394519074,NA,NA,NA
ran_pars,item_id,sd__(Intercept),0.462509476,NA,NA,NA
fixed,NA,(Intercept),0.030545425,0.124987483,0.244387876,0.806930431
fixed,NA,X_1,0.310292751,0.143813701,2.157602155,0.030958777
fixed,NA,X_2,-0.845789211,0.201895813,-4.189236015,2.80E-05
ran_pars,subj_id,sd__(Intercept),0.820025738,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).X_1,0.073883939,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).X_2,0.281603603,NA,NA,NA
ran_pars,subj_id,sd__X_1,0.470946476,NA,NA,NA
ran_pars,subj_id,cor__X_1.X_2,-0.249170368,NA,NA,NA
ran_pars,subj_id,sd__X_2,1.473742016,NA,NA,NA
ran_pars,item_id,sd__(Intercept),0.48071918,NA,NA,NA
fixed,NA,(Intercept),-0.17572829,0.132414551,-1.327107097,0.184473258
fixed,NA,X_1,0.690934872,0.156017603,4.428569978,9.49E-06
fixed,NA,X_2,-0.355174351,0.206693875,-1.718359338,0.085731092
ran_pars,subj_id,sd__(Intercept),0.85630534,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).X_1,0.071288923,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).X_2,0.419778973,NA,NA,NA
ran_pars,subj_id,sd__X_1,0.563049214,NA,NA,NA
